municipio_id,year,urbana,rustica,bice_grupo_a,bice_grupo_b,bice_grupo_c,bice_grupo_d
4073,2006,0.6,0.7,0.6,0.6,0.6,0.6
4074,2006,0.5125,0.86,0.6,0.6,0.6,0.6
4075,2006,0.7,0.6,0.6,0.6,0.6,0.6
4076,2006,0.55,0.3,0.6,0.6,0.6,0.6
4077,2006,0.6,0.7,0.6,0.6,0.6,0.6
4078,2006,0.7,0.7,0.6,0.6,0.6,0.6
4079,2006,0.8543,0.8,0.6,0.6,0.6,0.6
4080,2006,0.4,0.65,0.6,0.6,0.6,0.6
4081,2006,0.9,0.6,0.6,0.6,0.6,0.6
4082,2006,0.6,0.4,0.6,0.6,0.6,0.6
4083,2006,0.54,0.55,0.6,0.6,0.6,0.6
4084,2006,0.4,0.3,0.6,0.6,0.6,0.6
4085,2006,0.4,0.3,0.6,0.6,0.6,0.6
4086,2006,0.68,0.31,0.6,0.6,0.6,0.6
4087,2006,0.4,0.3,0.6,0.6,0.6,0.6
4088,2006,0.8,0.6,0.6,0.6,0.6,0.6
4089,2006,0.5,0.3,0.6,0.6,0.6,0.6
4090,2006,0.4,0.65,0.6,0.6,0.6,0.6
4091,2006,0.4,0.8,0.6,0.6,0.6,0.6
4092,2006,0.55,0.55,0.6,0.6,0.6,0.6
4093,2006,0.6,0.4,0.6,0.6,0.6,0.6
4094,2006,0.4,0.3,0.6,0.6,0.6,0.6
4095,2006,0.62,0.74,0.6,0.6,0.6,0.6
4096,2006,0.4,0.3,0.6,0.6,0.6,0.6
4097,2006,0.4,0.3,0.6,0.6,0.6,0.6
4098,2006,0.6,0.75,0.6,0.6,0.6,0.6
4099,2006,0.513,0.848,0.6,0.6,0.6,0.6
4100,2006,0.49,0.92,0.6,0.6,0.6,0.6
4101,2006,0.65,0.65,0.6,0.6,0.6,0.6
4102,2006,0.745,0.6,0.6,0.6,0.6,0.6
4103,2006,0.5,0.3,0.6,0.6,0.6,0.6
4901,2006,0.5,0.4,0.6,0.6,0.6,0.6
4902,2006,0.529,0.99,0.6,0.6,0.6,0.6
4903,2006,0.79,0.87,0.6,0.6,0.6,0.6
5001,2006,0.6,0.8,0.6,0.6,0.6,0.6
5002,2006,0.45,0.75,0.6,0.6,0.6,0.6
5005,2006,0.5,0.4,0.6,0.6,0.6,0.6
5007,2006,0.64,0.54,0.6,0.6,0.6,0.6
5008,2006,0.4,0.45,0.6,0.6,0.6,0.6
5010,2006,0.7,0.6,0.6,0.6,0.6,0.6
5012,2006,0.4,0.45,0.6,0.6,0.6,0.6
5013,2006,0.42,0.3,0.6,0.6,0.6,0.6
5014,2006,0.55,0.75,0.6,0.6,0.6,0.6
5015,2006,0.6,0.9,1,1,1,1
5016,2006,0.68,0.88,0.6,0.6,0.6,0.6
5017,2006,0.65,0.8,0.6,0.6,0.6,0.6
5018,2006,0.85,0.65,0.6,0.6,0.6,0.6
